id	emotion
34170_0007_A_43	0,0,0.0015945155173540115,0,0.012599322944879532,0
34170_0007_A_44	0,0,0.1018158346414566,0,0.22649210691452026,1.9998811483383179
34170_0007_A_45	0,0.039649128913879395,0.04848484694957733,0,0,0.03426549211144447
34170_0007_A_46	0.013641808182001114,0.983313798904419,0.0808676928281784,0,0.055359963327646255,0.26250433921813965
34170_0007_A_47	0,0.01603633537888527,0,0.0063656531274318695,0,0.05503520742058754
34170_0008_A_49	0,0.0022227726876735687,0,0,0.07155486941337585,0.02136329934000969
34170_0008_A_50	0,0,0,0,0.006785724312067032,0.03368246182799339
34170_0008_A_51	0.023146290332078934,0.13175760209560394,0.040960729122161865,0.008156750351190567,0,0
34170_0009_A_54	0,0,0,0,0,0
34170_0009_A_56	0,0,0,0.05194899067282677,0.06304553151130676,0
34170_0009_A_58	0.10806696116924286,0,0,0,0.12156176567077637,0
34170_0009_A_59	0,0,0.03158405423164368,0,0,0.007604073733091354
34170_0009_A_60	0,0,0.03143766522407532,0,0,0.029463518410921097
34170_0009_A_61	0,0.06041047349572182,0.061071932315826416,0,0.06117856875061989,0.0444096140563488
34170_0009_A_62	0,0,0.01699027605354786,0,0,0.01721852645277977
34170_0009_A_63	0,0.016633588820695877,0.017200442031025887,0,0,0.002745766192674637
34170_0009_A_64	0,0.020491328090429306,0.027056651189923286,0,0.06054065003991127,0.1380138397216797
34170_0010_A_66	0,0,0,0,0,0
34170_0010_A_67	0,0,0.005813034251332283,0,0,0.012377899140119553
34170_0011_A_71	0.013283777981996536,0,0,0,0.05004647746682167,0
34170_0011_A_74	0,0,0.014360936358571053,0,0,0.026194695383310318
34170_0011_A_76	0.047803718596696854,0,0.05777883529663086,0.02543216571211815,0.049456868320703506,0.006972078233957291
34170_0011_A_78	0.03375737741589546,0.06719675660133362,0.0007536578923463821,0,0,0
34170_0011_A_80	0.030894536525011063,0.06923577189445496,0.027806328609585762,0,0,0.09066581726074219
34170_0011_A_81	0,0.11784742772579193,0.046172693371772766,0,0.01602495089173317,0
34170_0012_A_83	0,0,0,0,0,0
34170_0012_A_84	0,0,0,0,0,0
34170_0012_A_85	0,0,0,0,0,0
34170_0012_A_86	0,0,0,0,0,0
34170_0012_A_87	0,0,0,0,0,0
34170_0012_A_88	0,0,0,0,0,0
34170_0012_A_89	0,0,0,0,0,0
34170_0012_A_90	0,0.07182519137859344,0.01394839771091938,0,0,0
34170_0012_A_92	0.00780569389462471,0.07314906269311905,0.03914335370063782,0,0,0
34170_0012_A_94	0,0.03168317675590515,0,0,0,0.012257065623998642
34170_0012_A_96	0,0.14272339642047882,0.054398536682128906,0,0,0
34170_0012_A_98	0,0,0.04510682821273804,0,0,0
34170_0012_A_99	0,0,0.030821891501545906,0.04560061916708946,0,0
34170_0012_A_100	0,0,0.07480403780937195,0,0.08801889419555664,0
34170_0012_A_101	0.0547153539955616,0.06333911418914795,0,0,0.13585522770881653,0.27092236280441284
34170_0013_A_103	0,0,0,0.007270794361829758,0,0
34170_0013_A_104	0,0,0,0.016004856675863266,0,0
34170_0013_A_105	0,0,0,0.008471708744764328,0,0
34170_0013_A_106	0,0.0024896003305912018,0.021330134943127632,0,0.09757190942764282,0
34170_0013_A_107	0,0.08264186978340149,0.02430063672363758,0,0.012570414692163467,0
34170_0013_A_108	0,0.09209896624088287,0.024237321689724922,0,0.07380056381225586,0
34170_0013_A_109	0,0.05510249361395836,0,0,0.0133039690554142,0.043774913996458054
34170_0013_A_110	0,0.044303711503744125,0.03372466564178467,0,0,0
34170_0014_A_112	0.08888958394527435,0,0.016499759629368782,0,0.30212539434432983,0
34170_0014_A_113	0.06760002672672272,0,0.032383427023887634,0,0,0
34170_0015_A_115	0,0.056448183953762054,0.09073242545127869,0,0.056432221084833145,0
34170_0015_A_116	0,0.07045596837997437,0.02337297983467579,0,0,0.02056371048092842
34170_0015_A_117	0,1.717651128768921,0,0,0.0362173356115818,0.06554506719112396
34170_0015_A_118	0,0.07645764946937561,0,0,0,0.1295568197965622
34170_0015_A_119	0,0.24673636257648468,0.023414792492985725,0,0.00384390726685524,0
34170_0015_A_120	0,0.004896294325590134,0.01614798791706562,0.016137968748807907,0,0.01421746239066124
34170_0015_A_121	0,0.23881380259990692,0.013603346422314644,0,0,0.048535678535699844
34170_0016_A_123	0,0.0068334974348545074,0.015906663611531258,0,0,0.011298518627882004
34170_0016_A_124	0.09971340000629425,0.27640315890312195,0.18394938111305237,0.007862035185098648,0,0
34170_0016_A_125	0,0.18304847180843353,0,0,0.015698257833719254,0
34170_0016_A_126	0,0.021180327981710434,0.013979630544781685,0,0,0
34170_0016_A_127	0,0.03680446371436119,0.009646730497479439,0,0.019452456384897232,0.0009616725146770477
34170_0016_A_128	0.07504765689373016,0.3303720951080322,0.2501462697982788,0,0,0
34170_0016_A_129	0.0028113313019275665,0.14973826706409454,0.02051529474556446,0,0,0.10191832482814789
34170_0016_A_130	0.01057427003979683,0.12933018803596497,0.07611872255802155,0,0,0
34170_0016_A_131	0,0.020809214562177658,0.0916195809841156,0.10292185842990875,0,0.05791829153895378
34170_0016_A_132	0.021935660392045975,0.09807319939136505,0.08909177780151367,0,0,0.11992333829402924
34170_0016_A_133	0,0.07675112783908844,0.0009593982249498367,0,0.05955583229660988,0.048287566751241684
34170_0016_A_134	0.0253993459045887,0.06670023500919342,0,0,0.05434871092438698,0.05712852254509926
34170_0016_A_135	0.04287164285778999,0.033469267189502716,0.02951592393219471,0,0,0.029999416321516037
34170_0016_A_136	0,1.044381856918335,0.00750531442463398,0,0.08229056000709534,0.16633158922195435
34170_0017_A_139	0,0.026904456317424774,0.005840720608830452,0.02973058447241783,0,0.004975225776433945
34170_0017_A_140	0,0.027005501091480255,0.04459235072135925,0,0,0
34170_0017_A_141	0,0.1810833364725113,0.035327211022377014,0,0.010060343891382217,0.1049908846616745
34170_0017_A_142	0,0.03485535830259323,0.017889292910695076,0,0,0.0002707056701183319
34170_0017_A_143	0,0.05719015747308731,0.07353977859020233,0,0,0
34170_0017_A_144	0,0.12433783710002899,0.0724630355834961,0,0.024275485426187515,0.02473236247897148
34170_0017_A_145	0,0.03402599319815636,0,0.03174891695380211,0,0
34170_0017_A_146	0,0.010470248758792877,0.015504913404583931,0,0,0.006067898124456406
34170_0017_A_147	0.2735915184020996,0.09116342663764954,0.0531865656375885,0,0.13154631853103638,0.17577572166919708
34170_0017_A_148	0.007359538227319717,0.08404101431369781,0,0.06969837844371796,0.001730743795633316,0.19408278167247772
34170_0017_A_149	0.024101007729768753,0.024389619007706642,0.02390572614967823,0,0,0
34170_0017_A_150	0.007496554404497147,0,0.021755428984761238,0,0,0
34170_0017_A_151	0.010129842907190323,0.07112571597099304,0.06871901452541351,0,0,0.5776890516281128
34170_0017_A_152	0.1183500736951828,0.49952417612075806,0.0660487711429596,0,0.025880727916955948,0
34170_0017_A_153	0.03075336292386055,0.08992311358451843,0,0,0,0
34170_0017_A_154	0,0.07536906749010086,0,0,0,0
34170_0017_A_155	0,0.057685486972332,0.09806191921234131,0,0,0
34170_0017_A_156	0.0798320323228836,0.27501094341278076,0.012374671176075935,0,0,0
34170_0017_A_157	0.13746978342533112,0.04250640422105789,0.012182177975773811,0.03385910019278526,0,0
34170_0017_A_158	0,0.026167552918195724,0.060591280460357666,0,0,0.057441096752882004
34170_0017_A_159	0,0,0.0033768583089113235,0,0,0
34170_0017_A_160	0,0,0.006601588800549507,0,0,0
34170_0017_A_161	0,0,0.008885549381375313,0,0,0
34170_0017_A_162	0.007885981351137161,0.07380983233451843,0.010583626106381416,0,0,0
34170_0017_A_163	0,0.09436987340450287,0.11885741353034973,0.09078349173069,0.013140711933374405,0.04486076161265373
34170_0017_A_164	0,0.08802229166030884,0.030729414895176888,0,0.006153140217065811,0.0014475248754024506
34170_0017_A_165	0,0.033025532960891724,0.04848960041999817,0.13346661627292633,0,0.10284194350242615
34170_0017_A_166	0.14350208640098572,0.16063794493675232,0.090397909283638,0,0.038622889667749405,0
34170_0017_A_167	0.23205189406871796,1.888500690460205,0,0,0,0.04797723516821861
34170_0017_A_168	0.2944487929344177,0.17540401220321655,0.03539198637008667,0,0.015636984258890152,0
34170_0017_A_169	0.364818811416626,0.16526468098163605,0.05382978916168213,0.07742317020893097,0.03653887286782265,0
34170_0017_A_173	0,0.04147130623459816,0.02869841642677784,0,0,0.03278377279639244
34170_0017_A_170	0,0,0,0.015548136085271835,0.01653391495347023,0.4129565358161926
34170_0017_A_172	0,0.0384032316505909,0.030105801299214363,0,0,0.012775611132383347
34170_0017_A_175	0,0,0.0014064032584428787,0.004539545625448227,0,0
34170_0017_A_176	0,0.011229980736970901,0.010978462174534798,0,0,0
34170_0017_A_178	0,0.10795584321022034,0.058812111616134644,0,0.010869447141885757,0.012662466615438461
34170_0017_A_179	0,0.10071900486946106,0.14689278602600098,0,0,0
34170_0017_A_181	0,0.1011674553155899,0.04791058599948883,0,0,0
34170_0017_A_182	0.047170404344797134,0.36461329460144043,0.35553842782974243,0.052232664078474045,0.0817946195602417,0.061320122331380844
34170_0017_A_184	0,0.08591862767934799,0.010920660570263863,0.04188304767012596,0,0
34170_0017_A_185	0,0.02165990322828293,0.027769969776272774,0,0.03644520416855812,0.013397660106420517
34170_0017_A_187	0.006958622485399246,0.016075436025857925,0.01786336489021778,0.06485401093959808,0.050693634897470474,0.02758784219622612
34170_0017_A_188	0.1295599788427353,0.04386426880955696,0.3425867259502411,0.3255162835121155,0.05437910929322243,0.17569437623023987
34170_0017_A_189	0.012500513345003128,0.2792801856994629,0.10401232540607452,0,0.2810107469558716,0
34170_0017_A_191	0.853103518486023,0.16186483204364777,0,0,0.07943344116210938,0
34170_0017_A_192	0.25983867049217224,0.0710507482290268,0.042106956243515015,0,0.016778234392404556,0.09656092524528503
34170_0017_A_193	0,0.23422923684120178,0.07701367139816284,0,0,0
34170_0017_A_194	0,0.2272958606481552,0,0.13299629092216492,0,0.012262608855962753
34170_0017_A_195	0.8567999601364136,0.271255761384964,0,0,0.013068381696939468,0
34170_0017_A_196	0.9717830419540405,0.21357382833957672,0,0,0,0
34170_0017_A_198	0.06723462045192719,0.03321355581283569,0.015537472441792488,0.008623968809843063,0,0.05090343579649925
34170_0017_A_199	0.07158617675304413,0.029381368309259415,0.03711517155170441,0,0,0.04594944044947624
34170_0017_A_200	0,0.0054477304220199585,0,0,0,0
34170_0019_A_207	0,0,0.026929037645459175,0,0.005476269870996475,0
34170_0019_A_208	0.003571499139070511,0.0012342482805252075,0.06291884183883667,0,0.0038945116102695465,0
34170_0019_A_209	0,0.24168752133846283,0.04453133046627045,0,0.018697265535593033,0
34170_0019_A_210	0,0,0.07803727686405182,0.01520657166838646,0,0.035308558493852615
34170_0019_A_217	0,0,0.00839458592236042,0.0037159286439418793,0,0
34170_0019_A_219	0.04591934755444527,0.42500728368759155,0,0,0,0
34170_0019_A_225	0,0.024576209485530853,0.007136525586247444,0.025861557573080063,0,0.07371550798416138
34170_0019_A_226	0.1256030648946762,0.14229027926921844,0.04199621081352234,0,0,0
34170_0019_A_231	0,0.02637358009815216,0.04193904995918274,0.020183201879262924,0,0
34170_0020_A_238	0,0.07069709897041321,0,0,0,0
34170_0020_A_239	0,0.07070127129554749,0,0,0,0.01030513271689415
34170_0020_A_240	0.06158565357327461,0.06904490292072296,0.12728126347064972,0.027435611933469772,0,0
34170_0020_A_241	0,0.011801347136497498,0.028232844546437263,0.04406772181391716,0.010862413793802261,0.08881843090057373
34170_0020_A_242	0,0,0.042566195130348206,0.10926873981952667,0.07738468050956726,0.09238779544830322
34170_0020_A_243	0,0,0,0.9778386354446411,0.10557910799980164,0.0942593663930893
34170_0020_A_246	0.20836548507213593,0.06343117356300354,0.11185970902442932,0.009089242666959763,0.09302575886249542,0.1290568858385086
34170_0020_A_247	0.2607439458370209,0.6348962783813477,0.18298718333244324,0,0,0
34170_0020_A_251	0,0,0,0,0,0.007277321070432663
34170_0020_A_252	0.0244973786175251,0,0.030936824157834053,0,0,0
34170_0021_A_255	0,0.06131265312433243,0,0.009540464729070663,0.21343058347702026,0.07063654065132141
34170_0021_A_257	0,0,0.002457858994603157,0.0011799894273281097,0.0005582310259342194,0
34170_0021_A_259	0,0,0.3492771089076996,0.07586653530597687,0.3953421115875244,0
34170_0021_A_261	0.1912938505411148,0.26827773451805115,0.09924787282943726,0,0.025863531976938248,0.1281442493200302
34170_0021_A_262	0,0.02456020936369896,0.03232391178607941,0,0.1280142068862915,0.058715421706438065
34170_0022_A_265	0.007910478860139847,0,0,0,0,0
34170_0022_A_266	0.013850081712007523,0.00465194508433342,0,0.010232146829366684,0.09712305665016174,0
34170_0022_A_267	0.020508933812379837,0.001998748630285263,0,0,0.14062058925628662,0.0016476623713970184
34170_0022_A_268	0,0,0.0017857272177934647,0,0,0.04519951716065407
34170_0022_A_269	0,0,0.021682308986783028,0,0.0501868762075901,0.016943451017141342
34170_0022_A_270	0,0.026497259736061096,0.018658878281712532,0.030906375497579575,0.03631925955414772,0.009473558515310287
34170_0022_A_271	0.23966781795024872,0.35496652126312256,0.07238402962684631,0,0.03655296936631203,0
34170_0022_A_272	0,1.027217984199524,0,0,0.09723150730133057,0
34170_0022_A_273	0,0.0112161785364151,0.023133428767323494,0.0038033537566661835,0,0
34170_0022_A_276	0,0.015075579285621643,0.026773320510983467,7.663294672966003e-05,0,0.02058057114481926
34170_0022_A_279	0,0,0.045067429542541504,0,0.17406046390533447,0
34170_0022_A_280	0,0.002086333930492401,0.015890242531895638,0,0,0
34170_0022_A_281	0,0,0.0019529182463884354,0.028353478759527206,0.011970046907663345,0
34170_0022_A_282	0,0,0.03186415135860443,0,0.08758693933486938,0.017706256359815598
34170_0022_A_283	0,0,0.040824830532073975,0,0.05933726206421852,0.015160832554101944
34170_0022_A_284	0.022601265460252762,0.12836581468582153,0,0,0,0.08392307162284851
34170_0022_A_285	0,0,0.05260443687438965,0,0.00953969731926918,0
34170_0022_A_286	0.022601265460252762,0.12836581468582153,0,0,0,0.08392307162284851
34170_0022_A_287	0,0,0.02139260061085224,0,0.12051284313201904,0
34170_0022_A_288	0.07293663918972015,0.2462562471628189,0.03256042301654816,0,0.06601852178573608,0
34170_0022_A_291	0,0,0,0.044177185744047165,0,0
34170_0022_A_292	0,0,0,0.05652175471186638,0,0
34170_0022_A_293	0,0,0,0.0325772725045681,0,0
34170_0022_A_302	0,0,0.040140360593795776,0,0.0639214813709259,0.01425173506140709
34170_0022_A_295	0,0.013195443898439407,0,0.03579055890440941,0.03438708558678627,0.07062236964702606
34170_0022_A_298	0,0,0.008401574566960335,0,0.20697471499443054,0
34170_0022_A_299	0,0,0,0.02342803403735161,0.2006058394908905,0.013315882533788681
34170_0022_A_300	0,0.0008738413453102112,0.04231160879135132,0,0.16822853684425354,0
34170_0022_A_301	0.009212333709001541,0.15017490088939667,0.005348237231373787,0,0,0
34170_0022_A_303	0.06421755254268646,0.22144700586795807,0.017272280529141426,0,0.0729876160621643,0
34170_0022_A_304	0,0.042164407670497894,0,0.008911456912755966,0.07328110933303833,0
34170_0022_A_305	0,0.00924156978726387,0,0.03700278326869011,0.09205454587936401,0.06366144120693207
34170_0022_A_308	0,0,0,0.004424672573804855,0,0
34170_0022_A_309	0,0.00890064612030983,0.11549511551856995,0.0476265512406826,0.05209857597947121,0.08002249896526337
34170_0022_A_310	0,0,0,0.02960440143942833,0,0
34170_0022_A_311	0,0.11080102622509003,0.02410227246582508,0,0.009089294821023941,0.0580865703523159
34170_0022_A_312	0.056455451995134354,0.09218251705169678,0.029692115262150764,0,0.023896340280771255,0
34170_0022_A_315	0,0,0.01268094964325428,0,0,0.07433241605758667
34170_0022_A_316	0,0,0.02013413794338703,0.06899449229240417,0,0.020413469523191452
34170_0022_A_319	0.07293663918972015,0.2462562471628189,0.03256042301654816,0,0.06601852178573608,0
34170_0022_A_322	0,0,0,0,0,0
34170_0022_A_323	0,0.028535891324281693,0,0,0.0004894174635410309,0.021872136741876602
34170_0022_A_324	0.26826974749565125,1.481312870979309,0,0,0,0
34170_0022_A_327	0,0.024330507963895798,0,0,0.04521471634507179,0.05443594977259636
34170_0022_A_328	0,0.06853346526622772,0.020932482555508614,0,0,0
34170_0022_A_329	0,0.00890064612030983,0.11549511551856995,0.0476265512406826,0.05209857597947121,0.08002249896526337
34170_0022_A_330	0.042170602828264236,0.02764558419585228,0.018326284363865852,0,0,0.03014897182583809
34170_0022_A_331	0.06099938228726387,0.11593426764011383,0,0,0,0
34170_0022_A_334	0,0,0,0,0.14636069536209106,0
34170_0022_A_335	0,0.01774352416396141,0,0.11508485674858093,0.13695690035820007,0.056596364825963974
34170_0022_A_336	0,0.011240269988775253,0,0,0.012572471052408218,0.008258726447820663
34170_0022_A_339	0,0,0.01656601019203663,0.0018499605357646942,0.03878197446465492,0.04223756119608879
34170_0022_A_340	0,0,0.01755671389400959,0.04120370373129845,0.05151233449578285,0.031160753220319748
34170_0022_A_341	0,0.008424177765846252,0.033478230237960815,0,0.10982730984687805,0
34170_0022_A_342	0,0.006944611668586731,0.038038015365600586,0,0.14671725034713745,0
34170_0022_A_343	0,0.010144636034965515,0.030878843739628792,0.018918734043836594,0,0.03783601149916649
34170_0022_A_344	0,0.025659751147031784,0.0008979309350252151,0.0511152558028698,0.1351914405822754,0.07241857051849365
34170_0022_A_345	0,0.021727096289396286,0,0.13946481049060822,0.1452988088130951,0.015420105308294296
34170_0023_A_347	0,0,0.03601357340812683,0.02879374846816063,0,0.04020685330033302
34170_0023_A_351	0,0,0.014442654326558113,0.008997555822134018,0,0
34170_0025_A_355	0,0,0,0.02544344589114189,0.0020095445215702057,0.009462472051382065
34170_0025_A_356	0,0,0,0.01946788653731346,0.007553610950708389,0.004912104457616806
34170_0025_A_357	0,0,0,0.02994733676314354,0,0.006100889295339584
34170_0025_A_358	0.0359758622944355,0.023620493710041046,0.050997138023376465,0,0.21268300712108612,0.056015145033597946
34170_0025_A_359	0.0006074197590351105,0,0.0480029433965683,0,0,0.026127230376005173
34170_0025_A_360	0.04757818952202797,0.023978333920240402,0,0.06431613862514496,0.13814401626586914,0.05877180024981499
34170_0025_A_361	0.00899975374341011,0.0013644583523273468,0,0.041381772607564926,0.07845962047576904,0.057388875633478165
34170_0025_A_362	0,1.7014607191085815,0.03817209601402283,0,0.020667467266321182,0
34170_0025_A_363	0.8703733682632446,0.05735957249999046,0.06714341044425964,0.13205862045288086,0.07081687450408936,0.0024965591728687286
34170_0025_A_364	0,0.0717279314994812,0,0.13682380318641663,0.052334729582071304,0.2940545082092285
34170_0025_A_365	0,0.04800375923514366,0,0.11356544494628906,0.014753375202417374,0.12522020936012268
34170_0026_A_367	0,0,0.0068664271384477615,0.00946725532412529,0.04645166173577309,0
34170_0027_A_369	0,0.05732652172446251,0,0.08772581815719604,0.01957014575600624,0.091513991355896
34170_0027_A_370	0.10235010087490082,1.1792925596237183,0,0,0.09980767965316772,0.5408934354782104
34170_0027_A_371	0,0.06875871121883392,0,0,0.07237210869789124,0.15952031314373016
34170_0027_A_372	0,0.0773719996213913,0,0,0.06899887323379517,0.1966751366853714
34170_0027_A_373	0,0.02015599235892296,0.040659889578819275,0,0.05533868446946144,0.11640475690364838
34170_0027_A_374	0,0.024744216352701187,0.05529075860977173,0.023916956037282944,0.0512375570833683,0.26472824811935425
34170_0028_A_376	0,0,0.006716163828969002,0,0.012435916811227798,0
34170_0028_A_377	0,0,0.005243139341473579,0,0.020879779011011124,0
34170_0028_A_378	0,0,0.006628038361668587,0,0.011409524828195572,0
34170_0028_A_379	0,0.061264704912900925,0.021286698058247566,0.018838893622159958,0,0
34170_0028_A_380	0,0.04921981319785118,0.015344219282269478,0.2042287141084671,0.061509374529123306,0.0497390441596508
34170_0028_A_381	0,0.04303402081131935,0.02564379759132862,0.21438178420066833,0.051037345081567764,0.06131367012858391
34170_0028_A_382	0,0.056225236505270004,0.014130236580967903,0.21764329075813293,0.06346851587295532,0.06085255369544029
34170_0028_A_383	0.08213038742542267,0.3794509172439575,0,0,0,0
34170_0028_A_384	0.04440923407673836,2.0111985206604004,0,0,0.04566407576203346,0
34170_0028_A_385	0,0.15507018566131592,0,0,0.0031813420355319977,0
34170_0028_A_386	0,0.2894534468650818,0,0,0.045732323080301285,0
34170_0028_A_387	0,2.069216728210449,0,0,0.06454610824584961,0
34170_0028_A_388	0,0.0248524509370327,0,0.04287103936076164,0.01606682315468788,0.021355416625738144
34170_0028_A_389	0,0.042969368398189545,0.019397752359509468,0.06810607016086578,0.13932040333747864,0.1532718986272812
34170_0029_A_396	0.08958570659160614,0.06933002173900604,0,0.004946868866682053,0.20880356431007385,0.09752677381038666
34170_0029_A_400	0,0.030799027532339096,0,0,0.001382533460855484,0.025218401104211807
34170_0029_A_401	0,0.07449977099895477,0.012640656903386116,0,0,0
34170_0029_A_404	0,0.0610220693051815,0.012578310444951057,0,0,0
34170_0029_A_405	0,0.1104428768157959,0.008209707215428352,0,0,0
34170_0029_A_407	0,1.7701963186264038,0,0,0,0
34170_0029_A_408	0,0.0849306732416153,0,0,0,0
34170_0029_A_412	0,0,0.005874844267964363,0,0,0
34170_0029_A_413	0,0,0.0039415378123521805,0,0.0022946931421756744,0.04138919338583946
34170_0029_A_414	0,0,0.01967892237007618,0,0.024238888174295425,0.01455865427851677
34170_0029_A_422	0.49676573276519775,0,0,0,0.09898227453231812,0.7914917469024658
34170_0029_A_423	0,0.033645275980234146,0.08819623291492462,0,0,0.07944127917289734
34170_0029_A_426	0,0.01666931062936783,0.03746190667152405,0,0.040993038564920425,0.044026609510183334
34170_0029_A_427	0,0.005452532321214676,0,0,0.02932000532746315,0.011572208255529404
34170_0029_A_428	0.024278122931718826,0,0,0,0,0.008813004940748215
34170_0029_A_429	0.024049926549196243,0.0518978014588356,0.022282348945736885,0,0.06440389156341553,0.021628987044095993
34170_0029_A_431	0,0.02563535049557686,0,0.13183511793613434,0.20232921838760376,0.016285236924886703
34170_0029_A_432	0,0.0134279765188694,0,0.11477985978126526,0.17670369148254395,0.0141732357442379
34170_0029_A_436	0,0,0,0.09759390354156494,0.08376434445381165,0.042516421526670456
34170_0029_A_440	0,0.04375879094004631,0.037842631340026855,0,0,0.028127487748861313
34170_0029_A_443	0,0.01106896623969078,0,0.020988982170820236,0.03923574462532997,0.03673325106501579
34170_0029_A_444	0,0.004689820110797882,0.017573760822415352,0.05589881166815758,0,0.06605581939220428
34170_0029_A_445	0,0.05994158610701561,0,0.08607478439807892,0.07589438557624817,0.013996090739965439
34170_0029_A_446	0,0.030996326357126236,0.01468256302177906,0.03094736859202385,0.011375430971384048,0.013767596334218979
34170_0029_A_447	0,0.004025109112262726,0,0.035529639571905136,0.19526135921478271,0
34170_0029_A_450	0.008757445961236954,0.01590229943394661,0,0.02963472530245781,0.06938454508781433,0
34170_0030_A_457	0.08329640328884125,0.05997772142291069,0,0,0.21844924986362457,0.07714380323886871
34170_0030_A_458	0.08159835636615753,0.05564779043197632,0,0,0.20092862844467163,0.07483801245689392
34170_0030_A_459	0.08506657183170319,0.05838952213525772,0,0,0.1909008026123047,0.07902784645557404
34170_0030_A_467	0,0,0,0,0.01876998320221901,0.02703319862484932
34170_0030_A_479	0,0.024247240275144577,0.029467346146702766,0,0.08390873670578003,0
34170_0030_A_480	0.01366417482495308,0.0007369257509708405,0,0.04429103061556816,0.09498149156570435,0.05233209952712059
34170_0030_A_481	0.0034798569977283478,0,0.023947449401021004,0.027236919850111008,0.04392734542489052,0
34170_0033_A_496	0,0.004202906042337418,0.001125263050198555,0.10883811116218567,0.08096951246261597,0
34170_0033_A_497	0,0,0,0.046731796115636826,0.20372219383716583,0
34170_0033_A_498	0.021615464240312576,0.01257447898387909,0.04035511612892151,0.13979968428611755,0.2133263349533081,0.08931086957454681
34170_0033_A_499	0.10023896396160126,0.0461670383810997,0,0,0.16072571277618408,0.08210693299770355
34170_0033_A_500	0.05983789637684822,0.009148810058832169,0.01814374513924122,0.11977729201316833,0.13578787446022034,0
34170_0033_A_502	0.00024132803082466125,0,0.02127598412334919,0.1092340499162674,0.15094724297523499,0.025874610990285873
34170_0033_A_503	0.0516449399292469,0,0.062081605195999146,0.07146155834197998,0.3094073534011841,0.07146024703979492
34170_0033_A_504	0.03576834872364998,0,0.041900649666786194,0,0.18705502152442932,0.0656244307756424
34170_0033_A_505	0,0,0.9815280437469482,0,0.01868436112999916,0.08269847929477692
34170_0033_A_506	0.16496719419956207,0,0,0.038642700761556625,0.47499340772628784,0
34170_0033_A_508	0.004983965307474136,0,0,0.06126518175005913,0.20077720284461975,0.3358490467071533
34170_0033_A_509	0.057574737817049026,0,0.016730697825551033,0,0.036598894745111465,0
34170_0033_A_510	0,0.11568820476531982,0.00459967739880085,0.04142257198691368,0.007220808416604996,0
34170_0033_A_511	0.055777717381715775,0.17214883863925934,0,0,0.05031252279877663,0.013204913586378098
34170_0034_A_514	0.0035026855766773224,0.02451348304748535,0.03628478944301605,0,0.08613589406013489,0.01178622618317604
34170_0035_A_516	0.0961964875459671,0.0036551430821418762,0,0,0.20728376507759094,0
34170_0035_A_517	0.09498398005962372,0.008413456380367279,0,0,0.19263118505477905,0
34170_0035_A_518	0.09928129613399506,0.0028779543936252594,0,0,0.2211104929447174,0
34170_0035_A_519	0,0.02570883184671402,0.03473106026649475,0,0.06637752056121826,0.0509430430829525
34170_0035_A_520	0,0.055242206901311874,0.031768798828125,0,0.039864782243967056,0.03416502848267555
34170_0035_A_521	0,1.0929514169692993,0,0,0.10781562328338623,0
34170_0035_A_522	0.029001954942941666,0.06954745948314667,0,0.06863763928413391,0.09248661994934082,0.013360854238271713
34170_0035_A_523	0,0.03175001218914986,0.024025486782193184,0.027717512100934982,0.08352869749069214,0.3436720371246338
